Idade;ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BÁSICA - FEMALE;GAM83_BÁSICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;GKF-95;GKM-70;GKM-80;GKM-95;GR-95 MALE;GR-95FEMALE;GRUPAL AMERICANA;HUNTER SEMITROPICAL;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos;Prudential-50;Rentiers Français;RP-2000 FEMALE;RP-2000MALE;SGB-51;SGB-71;SGB-75;UP-84 F;UP-84 M;UP84_MAS_&_FEM;UP-94 FEMALE;UP-94 MALE;USTP-61;X-17;BENTZIEN;Experiência CAP;GRUPAL AMERICANA;IAPC;IBA (FERROVIARIOS);MULLER;RP-2000 DISABLED FEMALE;RP-2000 DISABLED MALE;RRB-44;TASA/1927;WINKLEVOSS;ZIMMERMANN;ZIMMERMANN (FERR. ALEMAES);ALVARO VINDAS;GRUPO AMERICANA;HUNTER'S;IAPB-57 Forte;IAPB-57 FRACA;IBA (FERROVIARIOS);LIGHT FORTE;LIGHT MEDIA;MULLER;PRUDENTIAL (FERR. APOSENT.);RGPS-99/02 M.M;RRB-1944 Mod - Fem;RRB-1944 Mod - Masc;TASA-1927;WYATT 1985 ;ZIMMERMANN EMPR. ESCRIT;Atuários Ingleses;Hubbard Laffitte;J.P. Jansen;Kinkelin;Moser;Samuel Dumas
0;1;0,8453;0,998385;0,99792;0,998206;0,997689;0,99679;0,99596;1;1;1;1;0,998165;1;0,99731;0,99872;0,99726;0,99962;0,998;0,9995849;0,9996089;0,9996562;0,9996628;0,999645475;0,999629203;0,999707398;0,999647327;0,99168;0,97742;0,99292;0,9960579;0,9938;0,9955705;0,99292;0,99452;0,99367;0,99582;1;0,997781;0,996745;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,975109476;0,975964188;0,976704817;0,977532709;1;0,96398;1;1;1;0,998705;1;1;1;1;1;1;1;1;1;1;0,538;1;1;1;1;1;1;1;1;1;1;1;1;0,9929;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0,93651;0,99932;0,999185;0,999245;0,999094;0,99864;0,99842;1;1;1;1;0,999222;1;0,998947;0,99954;0,99905;0,99962;0,99931;0,9998157;0,9997975;0,9998473;0,9998432;0,999774392;0,999757915;0,999807888;0,999773614;0,99793;0,99423;0,99824;0,9984599;0,99833;0,99836;0,99824;0,99906;0,999;0,99893;1;0,99906;0,998726;1;1;1;1;0,999469;0,999408;1;1;1;1;1;1;1;1;0,99770795;0,997817543;0,997708784;0,997848322;1;0,97251;0,999429;0,999363;1;0,998705;1;1;1;1;0,999429;0,999363;1;1;1;1;0,551;1;1;1;1;1;1;1;1;1;1;1;1;0,99313;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;1;0,9645;0,999647;0,999546;0,999608;0,999496;0,999297;0,999113;1;1;1;1;0,999598;1;0,999409;0,99975;0,99952;0,9998;0,99965;0,9998952;0,999865;0,9998841;0,9999059;0,999804665;0,99978708;0,999845444;0,99980365;0,99821;0,99586;0,99848;0,9986199;0,99859;0,9985099;0,99848;0,99933;0,99925;0,99901;1;0,999514;0,999285;1;1;1;1;0,999654;0,9996;1;1;1;1;1;1;1;1;0,998745046;0,998801938;0,998812115;0,998867584;1;0,97915;0,999628;0,99957;1;0,998705;1;1;1;1;0,999628;0,99957;1;1;1;1;0,564;1;1;1;1;1;1;1;1;1;1;1;1;0,99335;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1;0,97609;0,999739;0,999633;0,99971;0,999592;0,999479;0,999285;1;1;1;1;0,999702;1;0,999524;0,99984;0,9997;0,99987;0,99978;0,9999268;0,9998932;0,9999209;0,9999312;0,99981986;0,999800887;0,999865799;0,999818613;0,99828;0,99662;0,99854;0,99868;0,99865;0,99857;0,99854;0,9994;0,99932;0,99902;1;0,99964;0,999424;1;1;1;1;0,999742;0,999668;1;1;1;1;1;1;1;1;0,999078266;0,999119807;0,999221631;0,999249957;1;0,98425;0,999722;0,999643;1;0,998705;1;1;1;1;0,999722;0,999643;1;1;1;1;0,577;1;1;1;1;1;1;1;1;1;1;1;1;0,99356;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1;0,9823;0,999791;0,999679;0,999768;0,999643;0,999581;0,999373;1;1;1;1;0,99976;1;0,999583;0,99988;0,99978;0,9999;0,99984;0,99994;0,9999052;0,9999424;0,9999418;0,999828887;0,999808381;0,999878566;0,999827314;0,99835;0,99701;0,9986;0,998735;0,99871;0,9986251;0,9986;0,99947;0,99939;0,99905;1;0,99971;0,999495;1;1;1;1;0,999806;0,999741;1;1;1;1;1;1;1;1;0,999300602;0,999341356;0,999432343;0,999448319;1;0,98813;0,999792;0,999722;1;0,998705;1;1;1;1;0,999792;0,999722;1;1;1;1;0,59;1;1;1;1;1;1;1;1;1;1;1;1;0,99376;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;1;0,9864;0,999829;0,999709;0,999811;0,999676;0,999661;0,999434;1;0,99963;0,99954;0,999785;0,999806;0,999581;0,999623;0,9999;0,99982;0,99992;0,99987;0,9999449;0,9999094;0,9999506;0,9999457;0,999834503;0,99981233;0,999886814;0,999832624;0,99841;0,99724;0,99865;0,998785;0,99876;0,998675;0,99865;0,99953;0,99945;0,9991;1;0,999766;0,999544;0,999829;0,99981;0,99962;0,999658;0,999825;0,999763;1;1;1;1;1;1;1;1;0,999520672;0,999531376;0,999558353;0,999567776;1;0,99103;0,999812;0,999745;1;0,998705;1;1;1;1;0,999812;0,999745;1;1;1;1;0,603;1;1;1;1;1;1;1;1;1;1;1;1;0,99395;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;1;0,98863;0,999859;0,99973;0,999844;0,999699;0,999722;0,999474;1;0,99962;0,99958;0,999822;0,99984;0,999611;0,99965;0,99991;0,99984;0,99993;0,99988;0,9999457;0,9999091;0,9999529;0,9999461;0,999837836;0,999813807;0,999891232;0,999835838;0,99847;0,99739;0,9987;0,99883;0,99881;0,9987199;0,9987;0,99959;0,99951;0,99914;1;0,999807;0,999576;0,99986;0,999844;0,999647;0,999682;0,999837;0,999773;1;1;1;1;1;1;1;1;0,9996145;0,999627869;0,99963989;0,999645601;1;0,99313;0,999824;0,999756;1;0,998705;1;1;1;1;0,999824;0,999756;1;1;1;1;0,616;1;1;1;1;1;1;1;1;1;1;1;1;0,99413;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;1;0,99025;0,999882;0,999743;0,999869;0,999714;0,999766;0,9995;1;0,99961;0,9996;0,999851;0,999866;0,99963;0,999667;0,99991;0,99985;0,99993;0,99989;0,9999442;0,9999062;0,9999525;0,9999445;0,999839168;0,999813331;0,999891021;0,999837089;0,99852;0,99753;0,99874;0,998865;0,99885;0,998755;0,99874;0,99964;0,99956;0,9992;1;0,999838;0,999597;0,999882;0,999869;0,999664;0,999698;0,999847;0,999783;1;1;1;1;1;1;1;1;0,999686062;0,999699398;0,999694257;0,99969792;1;0,9946;0,999835;0,999766;1;0,998705;1;1;1;1;0,999835;0,999766;1;1;1;1;0,629;1;1;1;1;1;1;1;1;1;1;1;1;0,9943;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;1;0,99137;0,999882;0,999706;0,999869;0,999672;0,999793;0,999513;1;0,9996;0,99961;0,999851;0,999866;0,999609;0,999648;0,99991;0,99985;0,99992;0,99989;0,9999412;0,9999013;0,9999504;0,9999416;0,999837844;0,999810517;0,999885109;0,999836618;0,99855;0,99769;0,99877;0,9988849;0,99888;0,9987801;0,99877;0,99968;0,9996;0,99924;1;0,999857;0,999608;0,999896;0,999884;0,999673;0,999706;0,999863;0,999799;1;1;1;1;1;1;1;1;0,999718742;0,999731187;0,999729423;0,999732239;1;0,99557;0,999853;0,999784;1;0,998705;1;1;1;1;0,999853;0,999784;1;1;1;1;0,642;1;1;1;1;1;1;1;1;1;1;1;1;0,99446;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;1;0,9921;0,999879;0,999675;0,999866;0,999638;0,999807;0,999518;1;0,99959;0,99961;0,999849;0,999864;0,999591;0,999632;0,99989;0,99984;0,99991;0,99988;0,9999373;0,9998948;0,9999474;0,9999376;0,999832374;0,999803899;0,999872877;0,999833681;0,99858;0,99788;0,99879;0,9988901;0,99889;0,99879;0,99879;0,9997;0,99963;0,99926;1;0,999866;0,999611;0,999903;0,999892;0,999676;0,999708;0,99987;0,999806;1;1;1;1;1;1;1;1;0,999726888;0,999739385;0,999748554;0,999751646;1;0,99612;0,99986;0,999791;1;0,998705;1;1;1;1;0,99986;0,999791;1;1;1;1;0,655;1;1;1;1;1;1;1;1;1;1;1;1;0,99461;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;1;0,99251;0,999874;0,99965;0,99986;0,99961;0,999809;0,999517;0,999517;0,99958;0,99961;0,999844;0,999859;0,999576;0,999618;0,99986;0,99982;0,99988;0,99987;0,9999325;0,9998859;0,9999435;0,9999327;0,999820862;0,999790844;0,999854557;0,999826833;0,99858;0,99803;0,99879;0,998885;0,99889;0,99878;0,99879;0,99971;0,99964;0,99927;1;0,999868;0,99961;0,999904;0,999893;0,999675;0,999707;0,999869;0,999803;1;1;1;1;1;1;1;1;0,999724793;0,999737637;0,999751563;0,999756283;1;0,99636;0,999859;0,999788;1;0,998705;1;1;1;1;0,999859;0,999788;1;1;1;1;0,668;1;1;1;1;1;1;1;1;1;1;1;1;0,99475;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
11;1;0,99248;0,999867;0,999629;0,999852;0,999587;0,999792;0,999508;0,999508;0,99957;0,9996;0,999837;0,999853;0,999562;0,999606;0,99982;0,99979;0,99985;0,99985;0,999927;0,9998723;0,999939;0,9999262;0,999802033;0,999767438;0,999831516;0,999813796;0,99855;0,99809;0,99877;0,9988699;0,99888;0,998755;0,99877;0,99971;0,99963;0,99923;1;0,999857;0,999603;0,999896;0,999884;0,999669;0,999702;0,999862;0,999792;1;1;1;1;1;1;1;1;0,999716527;0,999729832;0,999735343;0,999743623;1;0,99634;0,999857;0,999781;1;0,998705;1;1;1;1;0,999852;0,999777;1;1;1;1;0,681;1;1;1;1;1;1;1;1;1;1;1;1;0,99488;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
12;1;0,99246;0,999858;0,999612;0,999842;0,999569;0,999775;0,999498;0,999498;0,999559;0,99959;0,999828;0,999845;0,99955;0,999595;0,99978;0,99974;0,99982;0,99981;0,9999209;0,9998491;0,9999336;0,9999169;0,999775941;0,999730034;0,999805656;0,9997903;0,99852;0,99808;0,99874;0,9988451;0,99886;0,99871;0,99874;0,9997;0,99961;0,99915;1;0,999845;0,999595;0,999887;0,999874;0,999662;0,999696;0,999852;0,999774;1;1;1;1;1;1;1;1;0,999685763;0,999693473;0,999693143;0,999707999;1;0,99613;0,999852;0,999772;1;0,998705;1;1;1;1;0,999841;0,999757;1;1;1;1;0,694;1;1;1;1;1;1;1;1;1;1;1;1;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13;1;0,99243;0,999848;0,999598;0,99983;0,999554;0,999758;0,999488;0,999488;0,999548;0,99959;0,999817;0,999835;0,999539;0,999585;0,99974;0,99967;0,99978;0,99976;0,9999138;0,9998089;0,9999269;0,9999029;0,999744463;0,999676367;0,999779047;0,999751324;0,99845;0,99802;0,99868;0,99881;0,99883;0,998645;0,99868;0,99968;0,99956;0,99901;1;0,999833;0,999587;0,999878;0,999865;0,999656;0,99969;0,999836;0,999745;1;1;1;1;1;1;1;1;0,99957007;0,999584169;0,999613104;0,999649731;1;0,99578;0,999845;0,99976;1;0,998705;1;1;1;1;0,999823;0,999725;1;1;1;1;0,707;1;1;1;1;1;1;1;1;1;1;1;1;0,99511;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14;0,99935;0,9924;0,999836;0,999586;0,999817;0,999542;0,99974;0,999476;0,999476;0,999537;0,99958;0,999805;0,999825;0,999528;0,999575;0,9997;0,99958;0,99975;0,99969;0,999905;0,9997443;0,9999175;0,9998818;0,999710183;0,999606472;0,999753466;0,99969423;0,99837;0,99793;0,99861;0,998765;0,99879;0,998575;0,99861;0,99965;0,9995;0,99885;0,999129;0,99982;0,999578;0,999869;0,999854;0,999648;0,999683;0,999811;0,999703;1;1;1;1;1;1;1;1;0,999442613;0,999461677;0,999475674;0,999511221;1;0,99534;0,999838;0,999746;0,997401;0,998705;0,998626;1;1;1;0,999797;0,99968;0,99941;0,99913;1;0,820314378;0,72;1;1;1;1;1;1;1;1;1;1;1;1;0,99521;1;0,99896;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
15;0,99938;0,99237;0,999823;0,999575;0,999803;0,99953;0,999722;0,999463;0,999463;0,999525;0,99957;0,999791;0,999812;0,999517;0,999565;0,99967;0,99947;0,99973;0,99961;0,999892;0,9996514;0,9999032;0,9998513;0,999676193;0,99952365;0,999730555;0,999620683;0,99828;0,99785;0,99854;0,99871;0,99874;0,9985;0,99854;0,99961;0,99944;0,99867;0,998994;0,999807;0,999567;0,99986;0,999844;0,999639;0,999675;0,999784;0,999655;0,9997041;0,998805;0,998921;0,998421;0,998712;0,999682;0,99771;1;0,999219299;0,999234944;0,999256595;0,999281485;0,999469;0,99485;0,99983;0,999731;0,997364;0,998512;0,998593;0,998511;0,998586;0,998547;0,999767;0,999629;0,99929;0,999;1;0,825433731;0,733;0,8893;0,8777;1;1;1;1;0,99995;1;1;1;0,999425;0,99969;0,9953;0,7238;0,99896;0,9929;0,99987;0,99993;1;1;1;1;1;0,99964;0,99978;1;1;1;1;1;1;1
16;0,99915;0,99234;0,99981;0,999563;0,999788;0,999519;0,999704;0,999449;0,999449;0,999512;0,99956;0,999776;0,999799;0,999505;0,999554;0,99965;0,99935;0,99971;0,99952;0,9998701;0,9995318;0,999878;0,9998091;0,999645375;0,99943219;0,999711226;0,999535195;0,99819;0,99781;0,99846;0,998645;0,99868;0,99842;0,99846;0,99956;0,99937;0,99849;0,99885;0,999795;0,999556;0,999851;0,999834;0,99963;0,999667;0,999758;0,999609;0,9996683;0,99879;0,9989088;0,998405;0,998711;0,99968;0,9977;1;0,999037193;0,999063956;0,99908303;0,999109221;0,999456;0,99435;0,999823;0,999716;0,997323;0,998306;0,998556;0,998521;0,998615;0,998563;0,999739;0,999579;0,99918;0,99887;1;0,830422491;0,746;0,8917;0,8818;1;1;1;0,974;0,99995;1;1;0,8818;0,999427;0,99968;0,99538;0,7769;0,99895;0,9938;0,99984;0,99991;1;1;1;0,9982;0,9988;0,99963;0,99976;1;-6565;-3;1;-5,32;-5,87;1
17;0,99888;0,99231;0,999796;0,999551;0,999772;0,999505;0,999685;0,999433;0,999433;0,999498;0,99954;0,999761;0,999786;0,999492;0,999542;0,99963;0,99922;0,9997;0,99943;0,9998347;0,9993648;0,9998572;0,9997204;0,999619593;0,999338461;0,999695865;0,999442999;0,9981;0,99775;0,99838;0,998575;0,99861;0,9983451;0,99838;0,9995;0,9993;0,99833;0,998732;0,999782;0,999543;0,999841;0,999823;0,999619;0,999657;0,999738;0,99957;0,9996573;0,998775;0,9988966;0,998399;0,99871;0,999678;0,9977;1;0,998867155;0,998897932;0,998920241;0,998948776;0,999441;0,9939;0,999816;0,999699;0,997278;0,998141;0,998515;0,998533;0,998649;0,998586;0,999719;0,999537;0,99907;0,99875;1;0,835282206;0,759;0,894;0,8859;1;1;1;0,974;0,99995;1;1;0,8859;0,999428;0,99967;0,99545;0,8175;0,99889;0,9933;0,9998;0,99989;1;1;1;0,9982;0,9988;0,99962;0,99975;1;-5,44;-4064;1;-5,16;-5,65;-5,51
18;0,99868;0,99227;0,999781;0,999537;0,999756;0,99949;0,999666;0,999416;0,999416;0,999483;0,99953;0,999745;0,999771;0,999477;0,999528;0,99963;0,9991;0,99969;0,99934;0,9997756;0,9991037;0,9998292;0,999626;0,999599737;0,999248406;0,999684392;0,999353841;0,99801;0,9977;0,99831;0,9985;0,99854;0,998285;0,99831;0,99944;0,99924;0,99822;0,998686;0,999769;0,999529;0,999832;0,999813;0,999608;0,999647;0,999727;0,99954;0,9996608;0,99876;0,9988844;0,998405;0,998709;0,999676;0,99769;1;0,998721563;0,998755936;0,998779744;0,998812084;0,999424;0,99352;0,999812;0,999684;0,997229;0,998082;0,998471;0,998547;0,998689;0,998615;0,999707;0,999505;0,99898;0,99866;1;0,840014414;0,771;0,8963;0,89;1;1;1;0,974;0,99995;1;1;0,89;0,99943;0,99965;0,99552;0,8533;0,99884;0,9935;0,99975;0,99987;1;1;1;0,9982;0,9988;0,9996;0,99974;1;-6215;-3,14;1;-5,02;-5,36;-5,61
19;0,99865;0,99223;0,999766;0,99952;0,99974;0,999472;0,999646;0,999397;0,999397;0,999466;0,99951;0,999729;0,999756;0,99946;0,999512;0,99963;0,99899;0,9997;0,99926;0,9997194;0,9989298;0,9997965;0,9995091;0,999585825;0,999167113;0,999676541;0,999273449;0,99797;0,99763;0,99826;0,99842;0,99846;0,9982351;0,99826;0,99937;0,9992;0,99814;0,998675;0,999755;0,999514;0,999821;0,999801;0,999595;0,999635;0,99972;0,999516;0,9996697;0,998745;0,9988722;0,998421;0,998708;0,999674;0,99768;1;0,998596928;0,998634568;0,998658657;0,998695811;0,999406;0,99325;0,99981;0,999669;0,997174;0,998075;0,998421;0,998563;0,998733;0,998649;0,999699;0,999479;0,99892;0,99859;1;0,844620637;0,783;0,8985;0,894;1;1;1;0,974;0,99995;1;1;0,894;0,999431;0,99962;0,99559;0,8826;0,99879;0,9937;0,9997;0,99984;1;1;1;0,9982;0,9988;0,99957;0,99972;1;-5912;-3,25;1;-4,89;-4,9;-5,69
20;0,99868;0,9922;0,99975;0,999501;0,999723;0,999451;0,999624;0,999376;0,999376;0,999447;0,9995;0,999712;0,99974;0,999441;0,999495;0,99963;0,9989;0,9997;0,9992;0,9996693;0,9988394;0,9997687;0,9993955;0,999577098;0,999097929;0,999671662;0,999206821;0,99791;0,99757;0,99821;0,9983451;0,99838;0,99819;0,99821;0,9993;0,99916;0,9981;0,998664;0,99974;0,999497;0,999811;0,99979;0,999581;0,999623;0,999716;0,999493;0,9996738;0,99873;0,99886;0,99845;0,998706;0,999671;0,99767;0,99104;0,998469711;0,998510652;0,998534679;0,998577055;0,999386;0,9931;0,999809;0,999655;0,997114;0,998068;0,998367;0,998586;0,998781;0,998689;0,999695;0,999455;0,99885;0,99854;0,8956;0,849102377;0,795;0,9006;0,898;0,9;1;1;0,974;0,99995;0,9916;0,898;0,898;0,999431;0,9996;0,99565;0,9033;0,99877;0,9938;0,99964;0,99981;0,99924;1;0,99996;0,9982;0,9988;0,99954;0,9997;0,9998;-5697;-4364;-3,5;-4,78;-4,39;-5,77
21;0,99872;0,99214;0,999735;0,999481;0,999706;0,999427;0,999602;0,999352;0,999352;0,999426;0,99948;0,999694;0,999724;0,999419;0,999475;0,99964;0,99883;0,9997;0,99915;0,9996347;0,9988386;0,999748;0,9992931;0,999572455;0,999043005;0,999669101;0,999156288;0,99786;0,99749;0,99817;0,998285;0,99831;0,9981551;0,99817;0,99924;0,99913;0,99809;0,998653;0,999725;0,999478;0,999799;0,999777;0,999565;0,999608;0,999714;0,99947;0,9996636;0,998715;0,9988478;0,998491;0,998705;0,999658;0,99766;0,99099;0,99834267;0,998369994;0,998411573;0,998458719;0,999364;0,99308;0,999808;0,999643;0,997047;0,998061;0,998307;0,998615;0,998833;0,998733;0,999692;0,99943;0,99878;0,99851;0,8995;0,853461106;0,807;0,9027;0,9019;0,9;0,99255;0,977429;0,974;0,99995;0,99147;0,9019;0,9019;0,999431;0,99957;0,9957;0,9176;0,99871;0,994;0,99957;0,99977;0,99918;1;0,99992;0,9982;0,9988;0,99951;0,99969;0,99977;-5515;-4494;-3,55;-4,68;-4,12;-5,87
22;0,99888;0,99209;0,999719;0,999458;0,999688;0,999401;0,999579;0,999326;0,999326;0,999403;0,99946;0,999675;0,999707;0,999395;0,999454;0,99964;0,99878;0,99971;0,99911;0,9996107;0,9988386;0,9997274;0,9992377;0,999570496;0,999002378;0,999668089;0,999123498;0,99782;0,99741;0,99814;0,9982351;0,99826;0,9981251;0,99814;0,9992;0,99911;0,99811;0,998642;0,999708;0,999456;0,999788;0,999764;0,999547;0,999592;0,999711;0,999444;0,9996387;0,9987;0,9988356;0,998536;0,998704;0,999634;0,99764;0,99093;0,998244203;0,998273207;0,99831765;0,998368653;0,999339;0,99319;0,999806;0,999634;0,996973;0,998054;0,998242;0,998649;0,998851;0,998781;0,999689;0,999402;0,99873;0,99848;0,9034;0,857698263;0,818;0,9048;0,9057;0,9;0,99255;0,977429;0,974;0,99995;0,99128;0,9057;0,9057;0,999431;0,99954;0,99576;0,9272;0,99868;0,9941;0,99949;0,99973;0,99912;1;0,99989;0,9982;0,9988;0,99948;0,99966;0,99974;-5410;-4603;-3,6;-4,6;-3,96;-5,97
23;0,99883;0,99204;0,999702;0,999434;0,99967;0,999373;0,999554;0,999298;0,999298;0,999378;0,99943;0,999655;0,999689;0,999368;0,99943;0,99965;0,99875;0,99971;0,99908;0,9996;0,9988929;0,999713;0,9992183;0,999569699;0,998975123;0,99966802;0,999107756;0,99779;0,99732;0,99811;0,99819;0,99821;0,9981;0,99811;0,99916;0,99909;0,99814;0,99864;0,999691;0,999434;0,999775;0,99975;0,999529;0,999576;0,999708;0,999411;0,999609;0,998685;0,9988234;0,998576;0,998703;0,999605;0,99762;0,99085;0,99818259;0,998213802;0,998261512;0,998315015;0,999312;0,99338;0,999803;0,999627;0,996892;0,998054;0,998169;0,998689;0,998871;0,998833;0,999687;0,999367;0,99872;0,99846;0,9073;0,861815245;0,829;0,9067;0,9095;0,9;0,99255;0,977429;0,974;0,99995;0,99109;0,9095;0,9095;0,99943;0,99951;0,9958;0,9335;0,99864;0,9943;0,9994;0,99968;0,99908;1;0,99986;0,9982;0,9988;0,99945;0,99964;0,9997;-5382;-4;-3,64;-4,53;-3,88;-6,08
